Model Name,Loss,Accuracy,Precision,Recall,Train Time
DQN,12.647429900223887,0.442063492063492,0.4798530336635929,0.442063492063492,233.87968611717224
DQN_mul_2,14.325875068299226,0.3599206349206349,0.4298017290106821,0.3599206349206349,86.05248832702637
DQN_mul_2,16.34358357779411,0.2800793650793651,0.3412769358483265,0.2800793650793651,66.97060346603394
DQN_mul_2,16.04741747607053,0.2870634920634921,0.3311432694968508,0.2870634920634921,61.46451091766357
DQN_mul_3,1.9353306929715528,0.3741269841269841,0.3858477827171079,0.3741269841269841,55.23181080818176
DQN_mul_3,1.956442889359848,0.4012698412698413,0.4154310957792796,0.4012698412698413,95.7097578048706
DQN_mul_3,2.171308563746728,0.2676190476190476,0.1723515286872784,0.2676190476190476,53.79771065711975
DQN_mul_3,2.044876082444432,0.4181746031746032,0.3663394766736095,0.4181746031746032,54.00128531455994
DQN_mul_3,1.910452355161668,0.3662698412698412,0.3630648739321971,0.3662698412698413,103.968843460083
DQN_mul_3,1.9166090010355432,0.2682539682539682,0.3024418661913353,0.2682539682539683,100.54569840431212
DQN_mul_3,1.971292879746388,0.2821428571428571,0.2497205238320147,0.2821428571428571,54.77996850013733
DQN_mul_3,2.007589888279388,0.3636507936507936,0.3290357905582113,0.3636507936507936,53.397284269332886
DQN_mul_3,1.947014037053812,0.3311111111111111,0.3329416988991736,0.3311111111111111,52.88864088058472
DQN_mul_3,2.0112051225122567,0.4058730158730159,0.3276511632425309,0.4058730158730158,53.6998291015625
DQN_mul_3,1.913572572947466,0.3497619047619048,0.4812634032018264,0.3497619047619047,56.12792158126831
DQN_mul_3,1.8794420365220936,0.3743650793650793,0.3913441773948239,0.3743650793650793,97.925133228302
DQN_mul_3,1.86535289572616,0.3688095238095238,0.4136196478578314,0.3688095238095238,105.90164613723756
DQN_mul_3,1.9448652905695347,0.3765873015873016,0.4685479519660733,0.3765873015873016,97.36058402061462
DQN_mul_3,1.96990148938,0.3366666666666666,0.3568638586653535,0.3366666666666666,50.94238066673279
DQN_mul_3,1.9164310452218232,0.4201587301587302,0.503910442724766,0.42015873015873023,53.805275440216064
