Model Name,Loss,Accuracy,Precision,Recall, Train Time,Train Time
DQN_1,0.656830026940557,0.6298888888888889,0.0,0.0,0.0,
DQN_one_7,0.5751748108429889,0.8220089285714286,0.9494080996884736,0.6802678571428571,,366.1764471530914
DQN_one_test,0.6320246253224018,0.8382589285714286,0.1969468425039252,0.1862797619047619,,31.37393355369568
DQN_one_8,0.6243655369775262,0.7697321428571429,0.7451314508276533,0.8199107142857143,,64.12543201446533
DQN_one_8,0.6263408249733905,0.7682589285714285,0.7393070489844683,0.82875,,94.1524887084961
DQN_one_8,0.648539250208761,0.6980803571428571,0.718549896561915,0.65125,,73.95344400405884
DQN_one_8,0.5958542445306848,0.7862053571428571,0.8752194779351515,0.6675892857142857,,76.79944133758545
DQN_one_8,0.5775022290005638,0.8392857142857143,0.8773584905660378,0.7888392857142857,,78.25082397460938
DQN_one_9,0.5996058329760872,0.8082589285714286,0.8055580139835383,0.8126785714285715,,75.8740656375885
DQN_one_9,0.6659909729985413,0.6724107142857143,0.6753541590991645,0.6640178571428571,,106.60312795639038
DQN_one_9,0.5856501450665781,0.8204910714285715,0.8648978347057029,0.7596428571428572,,106.15096521377563
DQN_one_10,0.5795819283610076,0.83,0.8853211009174312,0.7582142857142857,,77.24321055412292
DQN_one_11,0.6504052366836637,0.7129017857142858,0.7006985943944113,0.7433035714285714,,90.67290472984314
DQN_one_11,0.6621644343847777,0.6824553571428571,0.6818869603916333,0.6840178571428571,,90.08551597595216
DQN_one_11,0.666370053890422,0.6708482142857143,0.6749565694431745,0.6591071428571429,,94.09904861450195
DQN_one_11,0.5908560897125387,0.7832142857142858,0.9326241134751772,0.6105357142857143,,69.30181407928467
DQN_one_11,0.6421675902400051,0.7365625,0.7110987172336866,0.796875,,71.75810050964355
DQN_one_11,0.663799260925267,0.6791964285714286,0.6786222855108579,0.6808035714285714,,70.43225383758545
DQN_one_11,0.6412767335119804,0.7387946428571428,0.712379893591678,0.8009821428571429,,75.48924732208252
DQN_one_11,0.5734814272460886,0.8299107142857143,0.9374852000947194,0.7069642857142857,,78.67175054550171
DQN_one_11,0.5924109650475854,0.8109375,0.8411874203977663,0.7666071428571428,,78.23329329490662
DQN_one_11,0.6622122891077786,0.6797321428571429,0.6831665150136488,0.6703571428571429,,79.48593926429749
DQN_one_11,0.5735587653414478,0.8533928571428572,0.8716431924882629,0.8288392857142857,,75.78418922424316
DQN_one_12,0.5800942153889296,0.8304017857142857,0.8805141388174808,0.7645535714285714,,75.12324476242065
DQN_one_12,0.5641942342551085,0.8716071428571428,0.8925674401056405,0.8449107142857143,,77.13542532920837
DQN_one_13,0.6408740701293287,0.7283928571428572,0.7215102182196051,0.7439285714285714,,88.46207237243652
DQN_one_13,0.6161472726097152,0.7871875,0.758998309042596,0.8416071428571429,,153.13151621818542
